"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3",SUBDIV
"19","06","RCPE","RCP094919D","","","","","19","06","RCPE","RCP094919D","","","19","06","27","11","40","PM","01","0","0","0","0","","NEW UNDERWOOD","629","46","67","4","1","037","E","MHUR","4","4595","1","Y","SINGLE MAIN TRACK","3","42","1","CRDX","011270","077","N","","","000","","3","0","0","0","0","0","0","0","0","0","18","0","74","0","0","0","0","6","0","0","118748","66000","T106","","0","0","0","0","T106","1","3","037","184748","","46C103","0","000000","0","1","0","1","0","08","","08","","1","8","","2","","","","289","","2019","0","0","0","0","0","0","PENNINGTON","103","00","00","","N","OTH","000-000-000","WESTBOUND MHURC-25 WITH 18X74 WENT INTO EMERGENCY AT MP 629. CONDUCTOR WALKED THE TRAIN AND FOUND 6","CARS DERAILED. POINT OF INITIAL DERAILMENT WAS MP 593.7. MINOR COSMETIC DAMAGE FOR 36 MILES UNTIL RA","IL CAR HIT A CROSSING AND FINALLY DERAILED. OF THE 6 CARS DERAILED, 4 WERE ON THEIR SIDE.","","","","","","","","","","","","","0","44.090809","-102.835357","2","2","P","","","PRC",
"19","07","UP","0719SX019","","","","","19","07","UP","0719SX019","","","19","07","24","6","0","AM","01","0","0","0","0","","SAN ANTONIO","264.0","48","75","1","1","000","E","","","4760","6","N","YARD 105","1","","2","AOKX","480866","021","Y","","","000","","0","0","0","0","0","0","0","0","0","0","59","0","12","0","0","14","0","0","0","0","25317","0","H503","H504","0","0","0","0","H503","2","1","005","391695","","48C029","0","000000","0","0","0","0","0","","","","","3","5","","1","","","","651","","2019","0","0","0","0","0","0","BEXAR","029","00","00","","N","CWR","000-000-000","YSA31-23 WAS WORKING ON THE SOUTH END OF SOSAN YARD LEAD BUILDING THE LAU07-24. 287 FEET FROM COMING","TO A STOP, THE ENGINEER WENT INTO DYNAMIC BRAKES AND AT 100 FEET FROM STOPPING, WENT TO FULL DB, SE","T FULL SERVICE ON THE AUTOMATIC AND, AT FIRST, DID NOT BAIL OFF THE INDEPENDENT BRAKE ALLOWING IT TO","GET UP TO 24 PSI. THIS IS WHERE THE DERAILMENT OCCURRED. UNAWARE TRAIN HAD DERAILED, THE CREW MADE","THE NEXT MOVE NORTH, SHOVING BACK TOWARDS 15 TRACK TO MAKE THE LAST DOUBLE OVER, FOR 507 FEET GETTIN","G UP TO THROTTLE 5 AND 117K OF TRACTIVE EFFORT AND DERAILED CARS IMPACTED CARS ON ADJACENT TRACKS ON","BOTH SIDES OF THEM, DERAILING CARS IN BOTH TRACKS.","","","","","","","","","0","29.373809","-98.559231","2","5","K","","","LAREDO SUB",
"19","07","UP","0719SX019","","","","","19","07","UP","0719SX019","","","19","07","24","6","0","AM","01","0","0","0","0","","SAN ANTONIO","264.0","48","75","1","1","000","E","","","3579","6","N","YARD 105","1","","2","BKTY","155153","002","Y","","","000","","0","0","0","0","0","0","0","0","0","0","11","0","107","0","0","3","0","7","0","0","6416","0","H503","H504","0","0","0","0","H503","2","1","005","391695","","48C029","0","000000","0","0","0","0","0","","","","","3","5","","1","","","","651","","2019","0","0","0","0","0","0","BEXAR","029","00","00","","N","CWR","000-000-000","YSA31-23 WAS WORKING ON THE SOUTH END OF SOSAN YARD LEAD BUILDING THE LAU07-24. 287 FEET FROM COMING","TO A STOP, THE ENGINEER WENT INTO DYNAMIC BRAKES AND AT 100 FEET FROM STOPPING, WENT TO FULL DB, SE","T FULL SERVICE ON THE AUTOMATIC AND, AT FIRST, DID NOT BAIL OFF THE INDEPENDENT BRAKE ALLOWING IT TO","GET UP TO 24 PSI. THIS IS WHERE THE DERAILMENT OCCURRED. UNAWARE TRAIN HAD DERAILED, THE CREW MADE","THE NEXT MOVE NORTH, SHOVING BACK TOWARDS 15 TRACK TO MAKE THE LAST DOUBLE OVER, FOR 507 FEET GETTIN","G UP TO THROTTLE 5 AND 117K OF TRACTIVE EFFORT AND DERAILED CARS IMPACTED CARS ON ADJACENT TRACKS ON","BOTH SIDES OF THEM, DERAILING CARS IN BOTH TRACKS.","","","","","","","","","0","29.373809","-98.559231","2","5","K","","","LAREDO SUB",
"19","07","UP","0719SX021","","","","","19","07","UP","0719SX021","","742849U","19","07","25","3","26","PM","07","2","0","0","0","","UVALDE","303.4","48","89","2","1","044","E","MNLL","4","5075","1","Y","SINGLE MAIN TRACK","5","56.0","1","UP","008368","001","","","","000","","2","0","0","0","0","0","0","0","0","0","25","0","72","0","0","0","0","0","0","0","12026","3650","M303","","0","0","0","0","M303","1","5","044","15676","","48C463","0","000000","0","1","0","1","0","07","55","07","55","1","5","","1","","","","176","","2019","0","0","0","0","0","0","UVALDE","463","","","","N","CWR","000-000-000","MNLLF-23, LEAD UNIT UP8368, TRAVELING WEST, IMPACTED A STOPPED DIESEL TRUCK TRAILER THAT WAS EMPTY.","TRUCK WAS TRAVELING SOUTH ON 1403. NO INJURIES TO CREW OR DRIVER OF VEHICLE.","","","","","","","","","","","","","","0","29.239789","-99.834479","1","1","Q","J","","DEL RIO SUB",
"19","07","UP","0719SX016","","","","","19","07","UP","0719SX016","","","19","07","20","6","30","PM","01","0","0","0","0","","SAN ANTONIO","264.0","48","98","3","1","004","E","YSA2","2","2137","7","Y","YARD 011","1","","2","UP","077815","043","N","","","000","","2","0","0","0","0","0","0","0","0","0","4","0","46","0","0","0","0","3","0","0","12576","4914","H704","","0","0","0","0","H704","2","1","004","17490","","48C029","0","000000","0","1","0","1","2","04","","04","","1","5","","1","","","","267","","2019","0","0","0","0","0","0","BEXAR","029","00","00","","N","OTH","000-000-000","YSA20-20 HAD PULLED TRACK 2 TO HANDLE IT ON THE NORTH END. WHEN THEY CAME NORTH, THEY UNKNOWINGLY RA","N THRU THE CROSSOVER SWITCH SO THAT WHEN THEY BEGAN SHOVING SOUTH INTO TRACK 11 TO A JOINT WITH THEI","R FIRST CARS, THEY DERAILED 3 CARS THAT PICKED THE RAN THRU SWITCH.","","","","","","","","","","","","","0","29.373816","-98.559242","2","5","L","","","LAREDO SUB",
"19","07","UP","0719SX019","","","","","19","07","UP","0719SX019","","","19","07","24","6","0","AM","01","0","0","0","0","","SAN ANTONIO","264.0","48","75","1","1","005","E","YSA3","2","11663","7","Y","YARD 105","1","","2","PTTX","255871","055","N","","","000","","3","0","0","0","0","0","0","0","0","0","78","0","51","0","0","0","0","15","0","0","106374","253588","H503","H504","0","0","0","0","H503","2","1","005","391695","","48C029","0","000000","0","1","0","1","1","06","01","06","01","1","5","","1","","","","651","","2019","0","0","0","0","0","0","BEXAR","029","00","00","","N","CWR","000-000-000","YSA31-23 WAS WORKING ON THE SOUTH END OF SOSAN YARD LEAD BUILDING THE LAU07-24. 287 FEET FROM COMING","TO A STOP, THE ENGINEER WENT INTO DYNAMIC BRAKES AND AT 100 FEET FROM STOPPING, WENT TO FULL DB, SE","T FULL SERVICE ON THE AUTOMATIC AND, AT FIRST, DID NOT BAIL OFF THE INDEPENDENT BRAKE ALLOWING IT TO","GET UP TO 24 PSI. THIS IS WHERE THE DERAILMENT OCCURRED. UNAWARE TRAIN HAD DERAILED, THE CREW MADE","THE NEXT MOVE NORTH, SHOVING BACK TOWARDS 15 TRACK TO MAKE THE LAST DOUBLE OVER, FOR 507 FEET GETTIN","G UP TO THROTTLE 5 AND 117K OF TRACTIVE EFFORT AND DERAILED CARS IMPACTED CARS ON ADJACENT TRACKS ON","BOTH SIDES OF THEM, DERAILING CARS IN BOTH TRACKS.","","","","","","","","","0","29.373809","-98.559231","2","5","K","","","LAREDO SUB",
"19","03","UP","0319ES070","","","","","19","03","UP","0319ES070","","","19","03","31","12","45","PM","09","0","0","0","0","","ROUND ROCK","160.1","48","53","2","2","000","R","","1","0","A","Y","SINGLE MAIN TRACK","4","43.0","1","BRP","001203","001","","","","000","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","25000","132","H997","H212","0","3","0","3","H997","1","4","025","50132","","48C491","1","000000","0","1","0","0","0","03","45","","","1","5","","1","","","","428","","2019","0","1","0","0","0","0","WILLIAMSON","491","","00","","N","CWR","000-000-000","WHILE MACHINE CAT1406 (CAT) WAS MOVING NORTH BEHIND BRP1203, CAT MACHINE 1406 CAME AROUND THE CURVE","HEADING NORTH, CAT1406 OPERATOR WAS UNABLE TO STOP IN HALF THE DISTANCE TO BE SEEN CLEAR.  CAT1406 C","AME INTO CONTACT WITH BRP1203.  A TOTAL OF FOUR EMPLOYEES WERE INVOLVED IN THIS INCIDENT.  ALL FOUR","EMPLOYEES REMOVED THEMSELVES FROM THE EQUIPMENT AND THREE OF THE EMPLOYEES REQUESTED TO BE TRANSPORT","ED BY EMS TO LOCAL HOSPITAL.","","","","","","","","","","","0","30.513221","-97.657628","2","2","","","","AUSTIN SUB",
"19","05","UP","0519TO001","","","","","19","05","UP","0519TO001","","","19","05","01","7","8","AM","11","0","0","0","0","","PYOTE","629.9","48","60","2","1","005","E","MFWW","3","7496","1","Y","SINGLE MAIN TRACK","3","40.2","1","UP","006272","003","","UP","006272","003","","3","0","0","0","2","0","0","0","0","0","53","0","29","0","0","0","0","0","0","0","33371","0","E73L","","0","0","0","0","E73L","1","3","005","33371","","48C475","0","000000","0","1","0","1","1","06","38","06","38","1","5","","1","","","","77","","2019","0","0","0","0","0","0","WARD","475","","","","N","CWR","000-000-000","THE THIRD LOCOMOTIVE, UP6272, OF THE MFWWCB-30, CAUGHT ON FIRE.  NO INJURIES.","","","","","","","","","","","","","","","0","31.504601","-103.223634","1","1","J","Q","","TOYAH SUB",
"19","03","IC","991030","","","","","19","03","IC","991030","","","19","03","13","6","40","PM","12","0","0","0","0","","MEMPHIS","397.00","47","73","3","2","004","E","RCL9","4","0","7","Y","TRACK M010, MEMPHIS","1","","2","IC","999999","001","Y","","","000","","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","45000","1500","H702","M105","0","0","0","0","H702","2","1","004","46500","","47C157","0","000000","0","1","0","0","0","02","39","","","1","3","","6","","","","645","","2019","0","0","0","0","0","0","SHELBY","157","","","","N","","000-000-000","3/13/2019 AT 1900 CDT, SHELBY SUBDIVISION MP 390.80, MEMPHIS TN: SUPERVISOR REPORTS THAT DURING NORM","AL HUMP OPERATIONS, AN UNKNOWN ASSIGNMENT HUMPED CAR VIPX 45827 (LOAD, PLASTIC) INTO M010 WHERE IT S","IDESWIPED CAR ATSF 315694 (LOAD, MINERALS), CAUSING MINIMAL DAMAGE TO SAFETY APPLIANCES. INCIDENT ST","ILL UNDER INVESTIGATION. NO INJURIES, DG, LEAKS OR EXPOSURES REPORTED. REMOTE YARD JOB, RCL92672-13,","WAS PERFORMING NORMAL HUMPING OPERATIONS WHEN THEY HUMPED VIPX 45827 INTO MO10 AND IT IMPACTED ATSF","315694 CAUSING DAMAGE TO BOTH CARS. IT WAS FOUND THAT THE SWITCHES WERE NOT PROPERLY LINED AND WIND","GUSTS OF 50 MPH CONTRIBUTED TO THE INCIDENT.","","","","","","","","","1","0","0","2","5","","","","SHELBY",
"19","03","BNSF","HL0319109","19","03","CSX","000181751","19","03","BNSF","HL0319109","","","19","03","10","5","45","AM","01","0","0","0","0","","MEMPHIS","489.1","47","53","1","1","000","","","","0","","","611","1","","2","","","000","","","","000","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4200","E08C","","0","0","0","0","E08C","2","1","008","22690","","47C157","0","000000","0","0","0","0","0","","","","","1","3","","1","","","","119","","2019","0","0","0","0","0","0","SHELBY","157","","","","","OTH","","FOREIGN TRAIN F-CSXT113-09 DERAILED 11 RAILCARS WHILE SHOVING YARD TRACK 611 DUE TO A DEFECTIVE HAND","BRAKE ON A RAILCAR.","","","","","","","","","","","","","","","35.093366","-89.981715","2","5","K","","","THAYER SOUTH",
"19","08","NS","135064","","","","","19","08","NS","135064","","","19","08","12","5","30","AM","01","2","0","0","0","","LOUDON","158.10","47","68","1","1","006","E","300T","2","1502","1","Y","SINGLE MAIN TRACK","1","0025","1","NS","994750","005","Y","","","000","","2","0","0","0","0","0","0","0","0","0","15","0","11","0","0","1","0","0","0","0","30000","42020","M505","","0","0","0","0","M505","1","1","006","72020","","47C105","0","000000","0","1","0","1","0","08","","01","","1","3","","1","","","","116","","2019","0","0","0","0","0","0","LOUDON","105","","","","N","CWR","000-000-000","300T511 SHOVING SOUTH WITH 2 LOCOMOTIVES, 15 LOADS AND 11 EMPTIES DERAILED ALL WHEELS ON THE 5TH HEA","D CAR NS 994750.","","","","","","","","","","","","","","0","35.756799","-84.318829","2","2","P","","","ALABAMA",
"19","04","NS","133705","","","","","19","04","NS","133705","","","19","04","25","10","15","PM","01","0","0","0","0","","CHATTANOOGA","240.00","47","64","4","1","005","E","AC34","1","1539","1","Y","EAST LEAD","1","0000","2","TTGX","964763","007","N","","","000","","1","0","0","0","0","0","0","0","0","0","9","0","13","0","0","1","0","2","0","0","17700","11843","H702","","0","0","0","0","H702","2","1","005","29543","","47C065","0","000000","0","1","0","1","0","07","15","07","15","1","3","","1","","","","132","","2019","0","0","0","0","0","0","HAMILTON","065","00","00","","N","OTH","000-000-000","AC34 PULLED NORTH OUT OF CT51 RUNNING THRU CT30 SWITCH THEN MADE A REVERSE MOVE DERAILING THE HEAD 4","TH, 5TH, 6TH, AND 7TH HEAD CARS.","","","","","","","","","","","","","","0","36.135151","-84.649386","2","5","K","","","ALABAMA",
"19","08","UP","0819HO019","","","","","19","08","UP","0819HO019","","","19","08","16","1","0","AM","01","10","1","0","0","","HOUSTON","375.54","48","82","4","1","004","E","YHO3","1","2348","7","Y","YARD 135","1","","2","DOWX","021596","004","N","","","000","","1","0","0","0","0","0","0","0","0","0","10","0","34","0","0","1","0","1","0","0","26897","528","T102","","0","0","0","0","T102","2","1","004","27425","","48C201","0","000000","0","2","0","0","0","02","30","","","1","5","","1","","","","339","","2019","0","0","0","0","0","0","HARRIS","201","00","00","","N","OTH","000-000-000","YHO31R-15 WAS SHOVING NORTH INTO TRACK 406. THE DOWX21596 DERAILED SHOVING ON THE HIGH SIDE OFF THE","CURVE JUST EAST OF CP EB041. THE FOREMAN HEARD THE CAR ON THE GROUND AND BROUGHT THE MOVEMENT TO A S","TOP JUST PAST THE SOUTH CAB TRACK SWITCH. THE RESULT WAS TWO CARS DERAILED AND DAMAGE TO THE TRACK A","ND CROSSING NEAR THE SOUTH LOCKER ROOM.","","","","","","","","","","","","3","29.809784","-95.288823","2","5","K","","","SETTEGAST IND LD",
"19","02","UP","0219TO022","","","","","19","02","UP","0219TO022","","","19","02","17","7","30","AM","01","0","0","0","0","","DALLAS","260.2","48","41","2","2","005","E","MFWD","2","8376","1","Y","SINGLE MAIN TRACK","1","7.1","1","ARMN","110861","080","Y","ARMN","110861","080","Y","2","0","0","0","0","0","0","0","0","0","54","0","52","0","0","1","0","0","0","0","4893","105888","E61C","","0","0","0","0","E61C","1","1","005","110781","","48C113","0","000000","0","1","0","1","0","06","30","06","30","1","5","","1","","","","169","","2019","0","0","0","0","0","0","DALLAS","113","","","","N","OTH","000-000-000","MFWDA-17 WAS TRAVELING SOUTH TOWARD MILLER YARD.  CAR ARMN110861 DERAILED THE SOUTH SET OF TRUCKS BU","T REMAINED COUPLED AND UPRIGHT.  CAUSE WAS DUE TO A BROKEN WHEEL RIM.","","","","","","","","","","","","","","0","32.72469","-96.754359","1","1","Q","","","ENNIS SUB",
"19","08","UP","0819HO020","","","","","19","08","UP","0819HO020","","427308B","19","08","15","11","28","PM","07","14","1","0","0","","BAYTOWN","20.05","48","83","4","2","000","E","LHO3","3","3444","1","Y","SINGLE MAIN TRACK","2","9.7","1","ECUX","575179","035","Y","","","000","","3","0","0","0","0","0","0","0","0","0","15","0","44","0","0","0","0","0","0","0","445","19500","M303","","0","0","0","0","M303","1","2","000","19945","","48C201","0","000000","0","1","0","1","0","09","28","09","28","1","5","","1","","","","436","","2019","0","0","0","0","0","0","HARRIS","201","","","","N","CWR","000-000-000","BAYTOWN POLICE DEPARTMENT REPORTED A WHITE, GMC SIERRA COLLIDED WITH A TRAIN AT THE CROSSING NEAR RE","DELL ROAD AND WADE ROAD. BAYTOWN POLICE ADVISED THERE WERE NO REPORTED INJURIES, BUT THERE WAS A REP","ORT OF DAMAGE TO THE CROSSING GATE AND SIGNAL MAST AT THE CROSSING. UPON FURTHER INSPECTION BY MECHA","NICAL FORCES, TRAIN LHO39-15 FOUND RAILCAR ECUX575179 WITH DAMAGES THAT ARE CONSISTENT WITH HAVING B","EEN INVOLVED IN A CROSSING ACCIDENT.","","","","","","","","","","","0","29.78072","-95.016697","2","3","","","","BAYTOWN SUB",
"19","02","UP","0219SX017","","","","","19","02","UP","0219SX017","","447858G","19","02","13","8","10","AM","07","0","0","0","0","","ENCINAL","359.53","48","42","2","1","056","R","APXL","2","3770","1","Y","SINGLE MAIN TRACK","5","32.9","1","UP","008329","001","","","","000","","1","0","0","0","1","0","0","0","0","0","0","0","71","0","0","0","0","0","0","0","39878","464","M308","","0","0","0","0","M308","1","5","056","40342","","48C283","0","000000","0","1","0","1","0","09","","09","","1","5","","1","","","","177","","2019","0","0","0","0","0","0","LA SALLE","283","","","","N","CWR","000-000-000","THE APXLDR-10 WAS HEADING SOUTH TO LAREDO.  THEY HAD COME ACROSS A BELLY DUMP TRUCK THAT DISREGARDED","STOP SIGNS AND WHISTLE/HORN SEQUENCE FROM TRAIN.  NO INJURIES WERE REPORTED.","","","","","","","","","","","","","","0","28.24046","-99.296944","1","1","Q","","","LAREDO SUB",
"19","02","UP","0219ST010","","","","","19","02","UP","0219ST010","","","19","02","09","10","30","AM","13","0","0","0","0","","EL PASO","822.0","48","39","2","2","004","R","YLP1","3","3","7","Y","YARD 009","1","","2","TILX","003205","003","N","TILX","003205","003","N","2","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","35979","0","E21C","","0","0","0","0","E21C","2","1","004","35979","","48C141","0","000000","0","2","0","0","0","03","30","","","1","5","","1","","","","143","","2019","0","0","0","0","0","0","EL PASO","141","","","","N","OTH","000-000-000","YLP15R-09, RAILCAR TILX3205 HAD PART OF DRAWBAR FALL OUT OF THE CAR WHEN SWITCH CREW UNCOUPLED AND P","ULLED AWAY.  NO DERAILMENT OR TRACK DAMAGE.","","","","","","","","","","","","","","3","31.75358","-106.388462","2","5","K","","","VALENTINE SUB",
"19","04","BNSF","RD0419130","","","","","19","04","BNSF","RD0419130","","","19","04","22","9","1","PM","12","4","4","0","0","","DAYTON","46.5","48","70","4","1","008","E","YDYT","1","1631","7","Y","615","1","","2","UTLX","959969","029","Y","","","000","","1","0","0","0","0","0","0","0","0","0","14","0","7","0","0","0","0","0","0","0","11750","0","H318","","0","0","0","0","H318","2","1","008","11750","","48C291","0","000000","0","1","0","1","1","05","31","05","31","1","5","","1","","","","215","","2019","0","0","0","0","0","0","LIBERTY","291","","","","N","OTH","000-000-000","Y-DYT2111-22 HAD RAILCARS IMPACT EACH OTHER IN RESULTING IN EQUIPMENT DAMAGES DURING SWITCHING OPERA","TIONS IN YARD TRACK 615 DUE TO INADEQUATE PRECAUTIONS WHILE KICKING RAILCARS. NO HAZARDOUS MATERIALS","WERE RELEASED.","","","","","","","","","","","","","0","30.012297","-94.90314","2","5","K","","","BAYTOWN UP",
"19","04","BNSF","RD0419133","","","","","19","04","BNSF","RD0419133","","","19","04","24","12","57","PM","01","0","0","0","0","","SILSBEE","151.6","48","76","2","2","005","E","YSSB","3","99","7","Y","132","1","","2","BNSF","927030","003","N","","","000","","2","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","2","0","0","6871","16000","M410","","0","0","0","0","M410","2","1","005","22871","","48C199","0","000000","0","2","0","1","1","05","","05","","1","5","","1","","","","129","","2019","0","0","0","0","0","0","HARDIN","199","","","","N","OTH","000-000-000","THE HYDRAULIC MOTOR AND ITS HOUSING BROKE FROM THE CAR BODY ABD DERAILED THE TWO CARS BEHIND IT. NO","HAZARDOUS MATERIALS RELEASED.","","","","","","","","","","","","","","0","30.35184","-94.185665","2","5","K","","","CONROE",
"19","08","UP","0819TO026","","","","","19","08","UP","0819TO026","","","19","08","18","1","37","AM","01","0","0","0","0","","DALLAS","219.0","48","87","4","1","013","E","AMQA","4","5098","1","Y","MAIN LINE 2","5","33.8","1","TTGX","604522","028","N","","","000","","2","0","0","0","0","0","0","0","0","0","0","0","98","0","0","0","0","1","0","0","5124","9670","T314","","0","0","0","0","T314","1","5","013","14794","","48C113","0","000000","0","1","0","1","0","03","37","03","37","1","5","","1","","","","113","","2019","0","0","0","0","0","0","DALLAS","113","","","","N","CWR","000-000-000","AMQARR-18, LEAD UNIT UP8019, DERAILED 1 CAR ON DALLAS MAIN 2 WHILE TRAVELING WEST. CAUSE WAS A WORN","SWITCH POINT.","","","","","","","","","","","","","","0","32.775566","-96.883173","1","1","Q","","","DALLAS SUB",
"19","02","UP","0219TO011","","","","","19","02","UP","0219TO011","","","19","02","09","2","30","PM","01","0","0","0","0","","DALLAS","258.5","48","34","2","3","008","E","YMY1","2","2898","7","Y","YARD 001","1","","2","GLCX","008136","013","Y","","","000","","2","0","0","0","0","0","0","0","0","0","23","0","8","0","0","7","0","0","0","0","38365","126437","T206","","0","0","0","0","T206","2","1","008","164802","","48C113","0","000000","0","3","0","0","0","07","30","","","1","5","","1","","","","167","","2019","0","0","0","0","0","0","DALLAS","113","","","","N","OTH","000-000-000","YMY16R-09 WAS PULLING 31 CARS OUT OF TRACK 3.  THE FIRST 12 CARS WERE GOOD, THEN DERAILED THE NEXT 7","CARS COMING OUT OF TRACK 3 ONTO THE #1 LEAD SOUTH END MILLER YARD.","","","","","","","","","","","","","","3","32.702178","-96.742966","2","5","K","","","ENNIS SUB",
"19","02","UP","0219TO014","19","02","DGNO","DGN372519","19","02","UP","0219TO014","","","19","02","12","4","10","PM","01","0","0","0","0","","DALLAS","212.9","48","57","2","1","000","","","4","0","","","YARD 401","1","","2","","","000","","","","000","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87015","T111","","0","0","0","0","T111","2","1","007","187015","","48C113","0","000000","0","0","0","0","0","","","","","2","5","","1","","","","363","","2019","0","0","0","0","0","0","DALLAS","113","","","","","OTH","000-000-000","THE DGNO DERAILED 5 CARS AND ONE LOCOMOTIVE WHILE SHOVING INTO CADZ YARD.  THE CREW LINED THE MAIN L","INE SWITCH, DERAIL AND SWITCHES FOR THEIR MOVEMENT INTO TRACK 402 AND WERE IN THE PROCESS OF SHOVING","27 CARS WEST INTO TRACK 402 AT 7 MPH WHEN THE 5TH CAR FROM THE LOCOMOTIVES DERAILED.  THE CAUSE WAS","DETERMINED TO BE WIDE GAUGE.  DGNO EQUIPMENT DAMAGE = $100,000","","","","","","","","","","","","","32.76157","-96.790938","2","5","K","","","DALLAS SUB",
"19","02","UP","0219TO030","","","","","19","02","UP","0219TO030","","","19","02","26","12","40","AM","12","0","0","0","0","","FORT WORTH","248.9","48","60","4","1","002","E","YFW3","3","5192","7","Y","YARD 120","1","","2","UPY","000447","001","","","","000","","2","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","15000","33","H302","","0","0","0","0","H302","2","1","002","30033","","48C439","0","000000","0","1","0","1","0","02","10","02","10","3","5","","1","","","","457","","2019","0","0","0","0","0","0","TARRANT","439","00","00","","N","CWR","000-000-000","JOB YFW32-25 WAS GIVEN INSTRUCTIONS TO GO TO THE LEAD 2 AND PULL TRACKS 5 AND 6.  THE TC LINED FOR T","HEIR MOVE, KNOWING THAT THE YFW31-25 WAS IN  BOWL TRACK 24 AND NEEDED TO PULL 6 CARS AND DOUBLE THEM","BACK TO TRACK 25.  BOTH JOBS WERE WORKING ON HAND SIGNS WHEN THE YFW35, NEEDING SOME HEAD ROOM TO L","INE THE 24/25 SWITCH, STOPPED, FOULING THE 2 LEAD.  THE YFW35 SIDESWIPED THE YFW31'S LOCOMOTIVES THA","T WERE NOT IN THE CLEAR.  NO DERAILMENTS AND NO INJURIES.","","","","","","","","","","","0","32.725286","-97.372184","2","5","K","","","DALLAS SUB",
"19","02","UP","0219TO030","","","","","19","02","UP","0219TO030","","","19","02","26","12","40","AM","12","0","0","0","0","","FORT WORTH","248.9","48","60","4","1","002","E","YFW3","4","0","8","Y","YARD 120","1","","2","UPY","000446","002","","","","000","","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15000","0","H302","","0","0","0","0","H302","2","1","002","30033","","48C439","0","000000","0","1","0","1","1","","41","","41","1","5","","1","","","","457","","2019","0","0","0","0","0","0","TARRANT","439","00","00","","N","CWR","000-000-000","JOB YFW32-25 WAS GIVEN INSTRUCTIONS TO GO TO THE LEAD 2 AND PULL TRACKS 5 AND 6.  THE TC LINED FOR T","HEIR MOVE, KNOWING THAT THE YFW31-25 WAS IN  BOWL TRACK 24 AND NEEDED TO PULL 6 CARS AND DOUBLE THEM","BACK TO TRACK 25.  BOTH JOBS WERE WORKING ON HAND SIGNS WHEN THE YFW35, NEEDING SOME HEAD ROOM TO L","INE THE 24/25 SWITCH, STOPPED, FOULING THE 2 LEAD.  THE YFW35 SIDESWIPED THE YFW31'S LOCOMOTIVES THA","T WERE NOT IN THE CLEAR.  NO DERAILMENTS AND NO INJURIES.","","","","","","","","","","","0","32.725286","-97.372184","2","5","K","","","DALLAS SUB",
